Latitud: 10.985244, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:2:14
Latitud: 10.985248, Longitud: -74.796841, Fecha: 7/3/2023, Hora: 11:2:36
Latitud: 10.985247, Longitud: -74.796841, Fecha: 7/3/2023, Hora: 11:2:44
Latitud: 10.985248, Longitud: -74.796841, Fecha: 7/3/2023, Hora: 11:2:54
Latitud: 10.985284, Longitud: -74.797888, Fecha: 7/3/2023, Hora: 11:4:13
Latitud: 10.985284, Longitud: -74.797888, Fecha: 7/3/2023, Hora: 11:4:13
Latitud: 10.985183, Longitud: -74.796904, Fecha: 7/3/2023, Hora: 11:4:18
Latitud: 10.985183, Longitud: -74.796904, Fecha: 7/3/2023, Hora: 11:4:18
Latitud: 10.985183, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:4:19
Latitud: 10.985183, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:4:25
Latitud: 10.985183, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:4:35
Latitud: 10.985183, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:4:45
Latitud: 10.985193, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:5:7
Latitud: 10.985192, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:5:8
Latitud: 10.985191, Longitud: -74.796904, Fecha: 7/3/2023, Hora: 11:5:15
Latitud: 10.985192, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:5:25
Latitud: 10.985192, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 11:5:35
Latitud: 10.985173, Longitud: -74.796926, Fecha: 7/3/2023, Hora: 11:5:58
Latitud: 10.985173, Longitud: -74.796925, Fecha: 7/3/2023, Hora: 11:5:59
Latitud: 10.985172, Longitud: -74.796924, Fecha: 7/3/2023, Hora: 11:6:5
Latitud: 10.985173, Longitud: -74.796925, Fecha: 7/3/2023, Hora: 11:6:15
Latitud: 10.985173, Longitud: -74.796925, Fecha: 7/3/2023, Hora: 11:6:25
Latitud: 10.985173, Longitud: -74.796925, Fecha: 7/3/2023, Hora: 11:6:35
Latitud: 10.985173, Longitud: -74.796925, Fecha: 7/3/2023, Hora: 11:6:45
Latitud: 10.985171, Longitud: -74.796934, Fecha: 7/3/2023, Hora: 11:7:7
Latitud: 10.985171, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 11:7:15
Latitud: 10.985171, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 11:7:25
Latitud: 10.985171, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 11:7:35
Latitud: 10.985171, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 11:7:35
Latitud: 10.985171, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 11:7:45
Latitud: 10.985171, Longitud: -74.796935, Fecha: 7/3/2023, Hora: 11:7:55
Latitud: 10.985232, Longitud: -74.797028, Fecha: 7/3/2023, Hora: 11:8:18
Latitud: 10.985234, Longitud: -74.797032, Fecha: 7/3/2023, Hora: 11:8:25
Latitud: 10.985233, Longitud: -74.797031, Fecha: 7/3/2023, Hora: 11:8:25
Latitud: 10.985233, Longitud: -74.79703, Fecha: 7/3/2023, Hora: 11:8:35
Latitud: 10.985232, Longitud: -74.797029, Fecha: 7/3/2023, Hora: 11:8:45
Latitud: 10.985232, Longitud: -74.797029, Fecha: 7/3/2023, Hora: 11:8:55
Latitud: 10.985232, Longitud: -74.797029, Fecha: 7/3/2023, Hora: 11:9:5
Latitud: 10.985232, Longitud: -74.797029, Fecha: 7/3/2023, Hora: 11:9:15
Latitud: 10.985232, Longitud: -74.797029, Fecha: 7/3/2023, Hora: 11:9:15
Latitud: 10.985201, Longitud: -74.796887, Fecha: 7/3/2023, Hora: 11:10:48
Latitud: 10.985201, Longitud: -74.796887, Fecha: 7/3/2023, Hora: 11:10:48
Latitud: 10.985201, Longitud: -74.796887, Fecha: 7/3/2023, Hora: 11:10:50
Latitud: 10.985201, Longitud: -74.796887, Fecha: 7/3/2023, Hora: 11:11:0
Latitud: 10.985201, Longitud: -74.796887, Fecha: 7/3/2023, Hora: 11:11:10
Latitud: 10.985176, Longitud: -74.796879, Fecha: 7/3/2023, Hora: 11:11:32
Latitud: 10.985174, Longitud: -74.796879, Fecha: 7/3/2023, Hora: 11:11:40
Latitud: 10.985175, Longitud: -74.796879, Fecha: 7/3/2023, Hora: 11:11:50
Latitud: 10.985176, Longitud: -74.796879, Fecha: 7/3/2023, Hora: 11:12:0
Latitud: 10.985161, Longitud: -74.796896, Fecha: 7/3/2023, Hora: 11:12:14
Latitud: 10.985161, Longitud: -74.796895, Fecha: 7/3/2023, Hora: 11:12:15
Latitud: 10.98516, Longitud: -74.796895, Fecha: 7/3/2023, Hora: 11:12:20
Latitud: 10.985161, Longitud: -74.796895, Fecha: 7/3/2023, Hora: 11:12:30
Latitud: 10.985161, Longitud: -74.796895, Fecha: 7/3/2023, Hora: 11:12:40
Latitud: 10.985161, Longitud: -74.796895, Fecha: 7/3/2023, Hora: 11:12:50
Latitud: 10.985161, Longitud: -74.796895, Fecha: 7/3/2023, Hora: 11:13:0
Latitud: 10.985172, Longitud: -74.796945, Fecha: 7/3/2023, Hora: 11:13:23
Latitud: 10.985173, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:13:30
Latitud: 10.985173, Longitud: -74.796947, Fecha: 7/3/2023, Hora: 11:13:40
Latitud: 10.985173, Longitud: -74.796946, Fecha: 7/3/2023, Hora: 11:13:50
Latitud: 10.985173, Longitud: -74.796946, Fecha: 7/3/2023, Hora: 11:13:50
Latitud: 10.985173, Longitud: -74.796946, Fecha: 7/3/2023, Hora: 11:14:0
Latitud: 10.985173, Longitud: -74.796946, Fecha: 7/3/2023, Hora: 11:14:10
Latitud: 10.985097, Longitud: -74.797272, Fecha: 7/3/2023, Hora: 11:14:36
Latitud: 10.985097, Longitud: -74.797272, Fecha: 7/3/2023, Hora: 11:14:36
Latitud: 10.985132, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 11:27:27
Latitud: 10.985132, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 11:27:27
Latitud: 10.985132, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 11:27:27
Latitud: 10.985132, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 11:27:27
Latitud: 10.985132, Longitud: -74.796941, Fecha: 7/3/2023, Hora: 11:27:27
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:29:45
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:29:46
Latitud: 10.98513, Longitud: -74.796947, Fecha: 7/3/2023, Hora: 11:29:51
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:30:1
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:30:11
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:30:21
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:30:31
Latitud: 10.98513, Longitud: -74.796948, Fecha: 7/3/2023, Hora: 11:30:41
Latitud: 10.985352, Longitud: -74.797158, Fecha: 7/3/2023, Hora: 11:31:7
Latitud: 10.985352, Longitud: -74.797158, Fecha: 7/3/2023, Hora: 11:31:7
Latitud: 10.985359, Longitud: -74.797162, Fecha: 7/3/2023, Hora: 11:31:16
Latitud: 10.985354, Longitud: -74.797158, Fecha: 7/3/2023, Hora: 11:31:31
Latitud: 10.985353, Longitud: -74.797157, Fecha: 7/3/2023, Hora: 11:31:41
Latitud: 10.98531, Longitud: -74.797123, Fecha: 7/3/2023, Hora: 11:31:54
Latitud: 10.985309, Longitud: -74.797122, Fecha: 7/3/2023, Hora: 11:31:55
Latitud: 10.985306, Longitud: -74.79712, Fecha: 7/3/2023, Hora: 11:32:1
Latitud: 10.985308, Longitud: -74.797121, Fecha: 7/3/2023, Hora: 11:32:11
Latitud: 10.985309, Longitud: -74.797122, Fecha: 7/3/2023, Hora: 11:32:21
Latitud: 10.985309, Longitud: -74.797122, Fecha: 7/3/2023, Hora: 11:32:31
Latitud: 10.985309, Longitud: -74.797122, Fecha: 7/3/2023, Hora: 11:32:41
Latitud: 10.985286, Longitud: -74.797108, Fecha: 7/3/2023, Hora: 11:33:3
Latitud: 10.985285, Longitud: -74.797107, Fecha: 7/3/2023, Hora: 11:33:11
Latitud: 10.985286, Longitud: -74.797107, Fecha: 7/3/2023, Hora: 11:33:21
Latitud: 10.985286, Longitud: -74.797108, Fecha: 7/3/2023, Hora: 11:33:31
Latitud: 10.985286, Longitud: -74.797108, Fecha: 7/3/2023, Hora: 11:33:31
Latitud: 10.985286, Longitud: -74.797108, Fecha: 7/3/2023, Hora: 11:33:41
Latitud: 10.985286, Longitud: -74.797108, Fecha: 7/3/2023, Hora: 11:33:51
Latitud: 10.985255, Longitud: -74.797074, Fecha: 7/3/2023, Hora: 11:34:13
Latitud: 10.985255, Longitud: -74.797072, Fecha: 7/3/2023, Hora: 11:34:21
Latitud: 10.985255, Longitud: -74.797073, Fecha: 7/3/2023, Hora: 11:34:21
Latitud: 10.985255, Longitud: -74.797073, Fecha: 7/3/2023, Hora: 11:34:31
Latitud: 10.985255, Longitud: -74.797073, Fecha: 7/3/2023, Hora: 11:34:41
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:3
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:11
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:11
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:21
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:31
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:41
Latitud: 10.985257, Longitud: -74.797054, Fecha: 7/3/2023, Hora: 11:35:51
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:36:13
Latitud: 10.98525, Longitud: -74.797046, Fecha: 7/3/2023, Hora: 11:36:21
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:36:31
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:36:41
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:36:51
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:36:51
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:37:1
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:37:23
Latitud: 10.98525, Longitud: -74.797046, Fecha: 7/3/2023, Hora: 11:37:31
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:37:41
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:37:41
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:37:51
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:38:1
Latitud: 10.98525, Longitud: -74.797047, Fecha: 7/3/2023, Hora: 11:38:11
Latitud: 10.985219, Longitud: -74.796834, Fecha: 7/3/2023, Hora: 11:38:34
Latitud: 10.985219, Longitud: -74.79698, Fecha: 7/3/2023, Hora: 11:40:13
